Cluster,traffic,n_accidents,n_accident_per_traffic,danger_level
-1,11509.457617728533,16036,1.393288939636828,0
173,50.0,16,0.32,2
41,2804.0,169,0.06027104136947218,2
235,547.5,22,0.04018264840182648,2
99,1936.5,64,0.033049315775884325,2
19,1629.0,31,0.019030079803560467,2
34,2085.0,39,0.01870503597122302,2
100,3087.75,48,0.01554529997571047,2
56,12818.666666666666,157,0.012247763677969628,2
68,7278.0,80,0.010992030777686177,2
246,2984.0,32,0.010723860589812333,2
111,7927.75,77,0.00971271798429567,2
123,2518.0,22,0.008737092930897538,2
25,18827.166666666668,155,0.008232784185972397,2
101,16885.5,139,0.008231914956619586,2
20,6307.0,50,0.007927699381639449,2
6,8238.0,65,0.007890264627336732,2
85,3174.0,24,0.007561436672967864,2
95,4499.0,32,0.007112691709268726,2
17,18362.0,124,0.006753077006861998,2
212,6687.5,44,0.006579439252336449,2
46,13295.2,76,0.005716348757446296,2
177,6338.0,35,0.0055222467655411805,2
287,2929.0,16,0.0054626152270399455,2
75,3356.0,18,0.005363528009535161,2
236,3041.0,16,0.005261427162117725,2
245,3520.0,18,0.005113636363636364,2
276,4162.0,21,0.005045651129264777,2
138,9071.0,44,0.004850622864072319,2
180,3379.0,16,0.004735128736312519,2
8,43994.0,191,0.004341501113788244,2
127,9985.5,42,0.004206098843322818,2
43,3760.0,15,0.003989361702127659,2
214,4638.0,17,0.0036653730056058647,2
226,4113.0,15,0.0036469730123997084,2
302,6146.0,21,0.003416856492027335,2
159,8730.0,29,0.0033218785796105383,2
82,6568.666666666667,21,0.0031969958388308128,2
220,7266.0,23,0.0031654280209193505,2
198,12013.0,38,0.003163239823524515,2
279,5776.0,18,0.0031163434903047093,2
147,10658.0,33,0.003096265715894164,2
265,5391.5,16,0.0029676342390800334,2
157,5899.0,16,0.0027123241227326664,2
115,10744.5,29,0.002699055330634278,2
142,19583.0,50,0.0025532349486799776,2
270,6864.0,15,0.0021853146853146855,2
209,7033.0,15,0.00213280250248827,2
166,10651.0,21,0.00197164585484931,2
11,8265.42857142857,16,0.0019357737910055655,2
256,8796.0,17,0.0019326966803092315,1
172,7792.0,15,0.0019250513347022586,1
72,9061.0,17,0.001876172607879925,1
125,19466.0,36,0.0018493784033699785,1
188,16254.0,30,0.0018456995201181247,1
202,17363.0,32,0.0018429994816563959,1
317,8316.0,15,0.0018037518037518038,1
62,22082.0,39,0.0017661443709808893,1
67,25094.75,44,0.0017533547853634725,1
155,14260.5,25,0.0017530942112829143,1
21,68143.0,116,0.0017023025108962035,1
285,9512.0,16,0.001682085786375105,1
96,22833.0,36,0.0015766653527788726,1
77,20737.0,32,0.001543135458359454,1
203,13065.0,20,0.0015308075009567547,1
230,10688.90776699029,16,0.001496878853180073,1
253,10184.0,15,0.0014728986645718774,1
316,5117.0,7,0.0013679890560875513,1
60,22862.0,31,0.0013559618581051526,1
239,14043.0,19,0.0013529872534358755,1
176,12321.0,16,0.0012985958931904878,1
79,27987.5,36,0.001286288521661456,1
215,16795.0,19,0.0011312890741292051,1
309,13301.0,15,0.0011277347567852042,1
192,14306.333333333334,16,0.0011183857965003845,1
196,14172.0,15,0.0010584250635055038,1
105,22120.0,23,0.0010397830018083183,1
318,10878.0,11,0.0010112152969295827,1
206,17251.5,17,0.0009854215575457207,1
153,23462.0,23,0.0009803085840934278,1
229,19677.0,19,0.0009655943487320222,1
218,22849.5,22,0.000962821943587387,1
133,15826.0,15,0.0009478074055351952,1
117,17002.0,16,0.0009410657569697683,1
249,21291.0,20,0.0009393640505377859,1
314,21168.0,19,0.0008975812547241119,1
179,24574.0,22,0.0008952551477170994,1
293,19149.5,16,0.0008355309538108044,1
45,25067.0,20,0.0007978617305620935,1
69,37395.0,29,0.0007755047466238802,1
58,56803.666666666664,39,0.0006865753971281197,1
189,46656.666666666664,25,0.0005358291062370509,1
311,28915.0,15,0.0005187618882932734,1
191,19301.0,10,0.0005181078700585462,1
163,84867.0,38,0.00044775943535178576,1
195,38278.0,15,0.00039187000365745336,1
122,49797.25,19,0.0003815471737897173,1
0,97246.0,35,0.0003599119758139152,1
222,42448.666666666664,15,0.000353367989571718,1
148,78955.0,26,0.0003293015008549174,1
