Year,Station ID,County,Signing,State Route,County Road,Road Name,Beginning Description,Ending Description,Municipality,Length,Functional Class,Ramp,Bridge,Railroad Crossing,One Way,Count,address,latitude2,longitude2
2019,10001,Bronx,Interstate,95,,Alexander Hamil,NY/Bronx Co Line,I-87 MAJ DEEGAN EXP UNDER,Bronx,7,11,,Y,,,81839.0,Bronx Alexander Hamil NY/Bronx Co Line I-87 MAJ DEEGAN EXP UNDER,40.9138639,-73.8739897
2019,10002,Bronx,Interstate,95,,Cross Bronx Exp,I-87 MAJ DEEGAN EXP UNDER,MACOMBS RD OVER,Bronx,51,11,,Y,,,92512.0,Bronx Cross Bronx Exp I-87 MAJ DEEGAN EXP UNDER MACOMBS RD OVER,40.8254622,-73.9359734
2019,10003,Bronx,Interstate,95,,Cross Bronx Exp,MACOMBS RD OVER,END I-95/US1 OLAP WEBSTER AV,Bronx,63,11,,,,,140871.0,Bronx Cross Bronx Exp MACOMBS RD OVER END I-95/US1 OLAP WEBSTER AV,37.2266918,-77.4013696
2019,10004,Bronx,US,1,,WEBSTER AVE,END I-95/US1 OLAP WEBSTER AV,E FORDHAM RD,Bronx,151,14,,,,,15198.0,Bronx WEBSTER AVE END I-95/US1 OLAP WEBSTER AV E FORDHAM RD,40.8620992,-73.8906214
2019,10005,Bronx,US,1,,E FORDHAM RD,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU,Bronx,112,14,,Y,,,32254.0,Bronx E FORDHAM RD E FORDHAM RD RT 907H BRONX RIVER PKWY SOU,40.8447819,-73.8648268
2019,10006,Bronx,US,1,,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU,RT 907F PELHAM PKWY BOSTON P,Bronx,19,14,,,,,45433.0,Bronx E FORDHAM RD RT 907H BRONX RIVER PKWY SOU RT 907F PELHAM PKWY BOSTON P,40.8447819,-73.8648268
2019,10007,Bronx,US,1,,BOSTON RD,RT 907F PELHAM PKWY BOSTON P,GUN HILL RD,Bronx,140,14,,,,,14109.0,Bronx BOSTON RD RT 907F PELHAM PKWY BOSTON P GUN HILL RD,40.8734473,-73.8540762
2019,10008,Bronx,US,1,,BOSTON RD,GUN HILL RD,RT 22 PROVOST AVE,Bronx,164,14,,,,,20105.0,Bronx BOSTON RD GUN HILL RD RT 22 PROVOST AVE,40.8821452,-73.88070309999999
2019,10009,Bronx,US,1,,BOSTON RD,RT 22 PROVOST AVE,Bronx/West Co Line,Bronx,51,14,,Y,,,21014.0,Bronx BOSTON RD RT 22 PROVOST AVE Bronx/West Co Line,40.8860373,-73.8279265
2019,10010,Bronx,US,9,,BROADWAY,NY/Bronx Co Line,VAN CORTLAND SOUTH,Bronx,82,14,,,,,14152.0,Bronx BROADWAY NY/Bronx Co Line VAN CORTLAND SOUTH,40.8972233,-73.8860668
